"","Average Performance of Students in Language in Class 8, Percent (Total)"
"Andhra Pradesh","58.1 (2017)"
"Andaman & Nicobar Islands","50.3 (2017)"
"Arunachal Pradesh","44 (2017)"
"Assam","54.2 (2017)"
"Bihar","57.6 (2017)"
"Chandigarh","61.1 (2017)"
"Chhattisgarh","54.9 (2017)"
"Gujarat","63.8 (2017)"
"Daman & Diu","52.7 (2017)"
"Dadra & Nagar Haveli","59.7 (2017)"
"Goa","59.3 (2017)"
"Haryana","56.2 (2017)"
"Jammu & Kashmir","41.7 (2017)"
"Himachal Pradesh","58.6 (2017)"
"Jharkhand","60.8 (2017)"
"Karnataka","62.3 (2017)"
"Kerala","63.3 (2017)"
"Madhya Pradesh","54.2 (2017)"
"Lakshadweep","48.7 (2017)"
"Maharashtra","62.4 (2017)"
"Manipur","51.5 (2017)"
"Meghalaya","46.6 (2017)"
"NCT of Delhi","54.2 (2017)"
"Nagaland","44.9 (2017)"
"Mizoram","44.6 (2017)"
"Odisha","51.1 (2017)"
"Punjab","50.7 (2017)"
"Puducherry","45.9 (2017)"
"Rajasthan","66.9 (2017)"
"Sikkim","50.7 (2017)"
"Tamil Nadu","57.1 (2017)"
"Telangana","52.6 (2017)"
"Tripura","53.2 (2017)"
"Uttar Pradesh","51.9 (2017)"
"Uttarakhand","59.2 (2017)"
"West Bengal","54.8 (2017)"
