"","Average Performance of Students in Mathematics in Class 8, Percent (Total)"
"Andhra Pradesh","49.8 (2017)"
"Andaman & Nicobar Islands","33.6 (2017)"
"Arunachal Pradesh","32.3 (2017)"
"Assam","49 (2017)"
"Bihar","44.9 (2017)"
"Chandigarh","46.1 (2017)"
"Chhattisgarh","35.8 (2017)"
"Gujarat","47.1 (2017)"
"Daman & Diu","31.4 (2017)"
"Dadra & Nagar Haveli","45 (2017)"
"Goa","33.4 (2017)"
"Haryana","36.3 (2017)"
"Jammu & Kashmir","36 (2017)"
"Himachal Pradesh","34.9 (2017)"
"Jharkhand","51.2 (2017)"
"Karnataka","50.3 (2017)"
"Kerala","49.8 (2017)"
"Madhya Pradesh","38.9 (2017)"
"Lakshadweep","32.6 (2017)"
"Maharashtra","40.3 (2017)"
"Manipur","40.8 (2017)"
"Meghalaya","33.2 (2017)"
"NCT of Delhi","31.9 (2017)"
"Nagaland","33.5 (2017)"
"Mizoram","36 (2017)"
"Odisha","42.3 (2017)"
"Punjab","29.1 (2017)"
"Puducherry","31 (2017)"
"Rajasthan","56.9 (2017)"
"Sikkim","29.6 (2017)"
"Tamil Nadu","35.3 (2017)"
"Telangana","37.2 (2017)"
"Tripura","37.8 (2017)"
"Uttar Pradesh","39.3 (2017)"
"Uttarakhand","39.9 (2017)"
"West Bengal","38.5 (2017)"
